Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global
20,0.3,95,0.010526315789473684,8,12,5,10,3,0.375,2,0.16666666666666666,0.25
20,0.3,115,0.008695652173913044,8,12,6,10,2,0.25,2,0.16666666666666666,0.2
20,0.3,135,0.007407407407407408,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
20,0.3,185,0.005405405405405406,8,12,5,10,3,0.375,2,0.16666666666666666,0.25
20,0.4,45,0.022222222222222223,8,12,3,7,5,0.625,5,0.4166666666666667,0.5
20,0.4,65,0.015384615384615385,8,12,5,6,3,0.375,6,0.5,0.45
20,0.4,85,0.011764705882352941,8,12,4,9,4,0.5,3,0.25,0.35
20,0.4,95,0.010526315789473684,8,12,5,9,3,0.375,3,0.25,0.3
20,0.4,115,0.008695652173913044,8,12,4,11,4,0.5,1,0.08333333333333333,0.25
20,0.4,135,0.007407407407407408,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
20,0.4,185,0.005405405405405406,8,12,2,8,6,0.75,4,0.3333333333333333,0.5
20,0.5,45,0.022222222222222223,8,12,3,7,5,0.625,5,0.4166666666666667,0.5
20,0.5,65,0.015384615384615385,8,12,4,6,4,0.5,6,0.5,0.5
20,0.5,85,0.011764705882352941,8,12,3,7,5,0.625,5,0.4166666666666667,0.5
20,0.5,95,0.010526315789473684,8,12,4,11,4,0.5,1,0.08333333333333333,0.25
20,0.5,115,0.008695652173913044,8,12,3,11,5,0.625,1,0.08333333333333333,0.3
20,0.5,135,0.007407407407407408,8,12,3,9,5,0.625,3,0.25,0.4
20,0.5,185,0.005405405405405406,8,12,2,7,6,0.75,5,0.4166666666666667,0.55
25,0.1,45,0.022222222222222223,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
25,0.1,65,0.015384615384615385,8,12,4,9,4,0.5,3,0.25,0.35
25,0.1,85,0.011764705882352941,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
25,0.1,95,0.010526315789473684,8,12,6,12,2,0.25,0,0.0,0.1
25,0.1,115,0.008695652173913044,8,12,6,10,2,0.25,2,0.16666666666666666,0.2
25,0.1,135,0.007407407407407408,8,12,5,12,3,0.375,0,0.0,0.15
25,0.1,185,0.005405405405405406,8,12,3,9,5,0.625,3,0.25,0.4
25,0.2,45,0.022222222222222223,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
25,0.2,65,0.015384615384615385,8,12,4,9,4,0.5,3,0.25,0.35
25,0.2,85,0.011764705882352941,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
25,0.2,95,0.010526315789473684,8,12,6,12,2,0.25,0,0.0,0.1
25,0.2,115,0.008695652173913044,8,12,6,10,2,0.25,2,0.16666666666666666,0.2
25,0.2,135,0.007407407407407408,8,12,5,12,3,0.375,0,0.0,0.15
25,0.2,185,0.005405405405405406,8,12,3,9,5,0.625,3,0.25,0.4
