Skip Frames;Confidence Config;Media;Factor_escala;Count In Real;Count Out Real;Count In Estimated;Count Out Estimated;Error In Abs;Error In Rel;Error Out Abs;Error Out Rel
5;0.95;95;0.010526315789473684;8;12;1;3;7;0.875;9;0.75
5;0.95;115;0.008695652173913044;8;12;1;4;7;0.875;8;0.6666666666666666
5;0.95;127.5;0.00784313725490196;8;12;0;2;8;1.0;10;0.8333333333333334
5;0.95;135;0.007407407407407408;8;12;1;0;7;0.875;12;1.0
5;0.95;155;0.0064516129032258064;8;12;0;1;8;1.0;11;0.9166666666666666
5;0.95;175;0.005714285714285714;8;12;0;2;8;1.0;10;0.8333333333333334
5;0.95;215;0.004651162790697674;8;12;0;2;8;1.0;10;0.8333333333333334
5;0.95;245;0.004081632653061225;8;12;0;1;8;1.0;11;0.9166666666666666
10;0.1;45;0.022222222222222223;8;12;4;6;4;0.5;6;0.5
10;0.1;65;0.015384615384615385;8;12;6;6;2;0.25;6;0.5
10;0.1;75;0.013333333333333334;8;12;4;10;4;0.5;2;0.16666666666666666
10;0.1;85;0.011764705882352941;8;12;6;8;2;0.25;4;0.3333333333333333
10;0.1;95;0.010526315789473684;8;12;5;10;3;0.375;2;0.16666666666666666
10;0.1;115;0.008695652173913044;8;12;6;11;2;0.25;1;0.08333333333333333
10;0.1;127.5;0.00784313725490196;8;12;8;11;0;0.0;1;0.08333333333333333
10;0.1;135;0.007407407407407408;8;12;9;10;1;0.125;2;0.16666666666666666
10;0.1;155;0.0064516129032258064;8;12;7;10;1;0.125;2;0.16666666666666666
10;0.1;175;0.005714285714285714;8;12;4;12;4;0.5;0;0.0
10;0.1;215;0.004651162790697674;8;12;5;8;3;0.375;4;0.3333333333333333
10;0.1;245;0.004081632653061225;8;12;4;7;4;0.5;5;0.4166666666666667
10;0.15;45;0.022222222222222223;8;12;4;6;4;0.5;6;0.5
10;0.15;65;0.015384615384615385;8;12;6;6;2;0.25;6;0.5
10;0.15;75;0.013333333333333334;8;12;4;10;4;0.5;2;0.16666666666666666
